USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
AL	0101	15713033442	2275872161	    6066.836	     878.719	 31.002052	 -87.787972
AL	0102	26266769386	306746680	   10141.657	     118.436	 31.702085	 -86.076842
AL	0103	19539111289	470420309	    7544.093	     181.630	 33.150564	 -85.700228
AL	0104	23022867957	572877020	    8889.179	     221.189	 34.118180	 -87.213808
AL	0105	9524306180	461150831	    3677.355	     178.051	 34.755074	 -86.710163
AL	0106	10803490973	176060595	    4171.251	      67.977	 33.260212	 -86.713427
AL	0107	26304109724	330558893	   10156.074	     127.630	 32.449235	 -87.640501
AK	0200	1477946266785	245390495931	  570638.268	   94745.804	 63.346191	-152.837069
AZ	0401	142545957897	354073634	   55037.304	     136.709	 34.971013	-110.725925
AZ	0402	20298522803	138380234	    7837.304	      53.429	 31.916618	-109.938728
AZ	0403	40632449010	8411270	   15688.277	       3.248	 32.423816	-112.402590
AZ	0404	85987707443	504272377	   33200.041	     194.701	 34.590918	-113.204528
AZ	0405	760077551	2290755	     293.468	       0.884	 33.339708	-111.712452
AZ	0406	1618655248	11087868	     624.966	       4.281	 33.665518	-111.888589
AZ	0407	530621927	1640754	     204.874	       0.633	 33.427819	-112.118768
AZ	0408	1398245647	4156605	     539.866	       1.605	 33.695581	-112.299574
AZ	0409	426322599	3032989	     164.604	       1.171	 33.406007	-111.949996
AR	0501	50036314981	1233951818	   19319.130	     476.431	 35.293909	 -91.258306
AR	0502	12894845468	303339608	    4978.728	     117.120	 35.099569	 -92.379135
AR	0503	13983502473	374790427	    5399.061	     144.707	 36.138288	 -94.062449
AR	0504	57856854674	1048109845	   22338.657	     404.677	 34.224191	 -93.221121
CA	0601	72748256590	1946596856	   28088.260	     751.585	 40.731988	-121.510516
CA	0602	33546252741	4122497535	   12952.281	    1591.705	 40.094059	-123.464974
CA	0603	16016036562	456647023	    6183.827	     176.312	 39.031952	-122.089573
CA	0604	33247359932	858072510	   12836.878	     331.304	 37.982452	-119.927973
CA	0605	4482770962	319057830	    1730.808	     123.189	 38.515806	-122.462559
CA	0606	453511973	11103487	     175.102	       4.287	 38.594033	-121.479768
CA	0607	1421426303	13615373	     548.816	       5.257	 38.479477	-121.215371
CA	0608	85126845926	450305639	   32867.660	     173.864	 35.662557	-116.819546
CA	0609	3245118661	134846563	    1252.947	      52.065	 38.010406	-121.306562
CA	0610	4714659697	54177484	    1820.340	      20.918	 37.586323	-121.054426
CA	0611	1277339159	92421440	     493.183	      35.684	 37.903869	-122.000933
CA	0612	101086658	211581419	      39.030	      81.692	 37.785514	-122.434000
CA	0613	250595913	127431128	      96.756	      49.201	 37.778962	-122.239248
CA	0614	672393974	827454323	     259.613	     319.482	 37.574676	-122.494794
CA	0615	1553791470	69372195	     599.922	      26.785	 37.657148	-121.836245
